date,open,high,low,close,volume
2025-10-14 10:00:00,19.65,19.8,19.4,19.49,685900
2025-10-15 10:00:00,19.65,19.89,19.44,19.69,2640000
2025-10-16 10:00:00,19.8,19.8,19.33,19.55,659200
2025-10-17 10:00:00,19.72,20.41,19.51,20.41,1342900
2025-10-20 10:00:00,20.55,21.09,20.45,20.9,1210700
2025-10-21 10:00:00,20.79,21.02,20.74,20.85,810200
2025-10-22 10:00:00,20.87,21.33,20.81,21.04,993400
2025-10-23 10:00:00,21.26,21.47,21.14,21.3,668500
2025-10-24 10:00:00,21.42,22.02,21.38,21.87,1065200
2025-10-27 10:00:00,22.02,22.43,21.93,22.17,941000
2025-10-28 10:00:00,22.3,22.36,21.53,21.93,1729300
2025-10-29 10:00:00,21.93,22.23,21.77,21.96,568700
2025-10-30 10:00:00,20.6348,21.0314,20.4931,20.9087,483807
2025-10-31 10:00:00,21.6359,22.193,21.5603,21.8153,4328003
2025-11-03 10:00:00,21.9758,22.2403,21.8625,22.0042,2798224
2025-11-04 10:00:00,22.0042,22.0892,21.6736,21.7586,3491797
2025-11-05 10:00:00,19.3,20.33,19.05,20.23,2302800
2025-11-06 10:00:00,20.26,20.31,19.62,19.9,2032600
2025-11-07 10:00:00,19.92,20.01,19.75,20.01,1149100
2025-11-10 10:00:00,20.15,20.15,19.71,19.8,759000
2025-11-11 10:00:00,19.89,20.18,19.77,19.94,1199400
2025-11-12 10:00:00,19.8,20.12,19.8,20.12,1663000
2025-11-13 10:00:00,20.14,20.2,19.81,20.09,837700
2025-11-14 10:00:00,20.09,20.5,19.95,20.49,1099100
2025-11-17 10:00:00,20.51,20.55,20.05,20.05,946900
2025-11-18 10:00:00,19.8,20.3,19.72,20.18,1071500
2025-11-19 10:00:00,20.15,20.21,19.86,19.96,868000
2025-11-21 10:00:00,19.99,20.07,19.73,19.78,1341500
2025-11-24 10:00:00,19.79,20.23,19.74,20.04,917000
2025-11-25 10:00:00,20.04,20.12,19.78,20.09,981700
2025-11-26 10:00:00,20.09,20.33,20.06,20.33,1317000
2025-11-27 10:00:00,20.35,20.46,20.18,20.46,511900
2025-11-28 10:00:00,20.3,20.71,20.07,20.4,1408700
2025-12-01 10:00:00,20.43,20.45,20.18,20.18,719200
2025-12-02 10:00:00,20.26,20.44,20.19,20.38,900100
2025-12-03 10:00:00,20.39,20.54,20.26,20.36,1115600
2025-12-04 10:00:00,20.46,20.78,20.41,20.76,1267100
2025-12-05 10:00:00,20.82,20.85,19.58,19.64,1976600
2025-12-08 10:00:00,19.99,20.29,19.85,20.09,1618500
2025-12-09 10:00:00,20.0,20.1,19.52,20.01,1082100
2025-12-10 10:00:00,20.1,20.19,19.84,20.07,685200
2025-12-11 10:00:00,20.14,20.43,20.01,20.39,622000
2025-12-12 10:00:00,20.45,20.58,20.22,20.45,469800
2025-12-15 10:00:00,20.46,20.91,20.46,20.76,1017700
2025-12-16 10:00:00,20.76,20.77,20.26,20.37,978700
2025-12-17 10:00:00,20.37,20.37,19.83,20.1,1123100
2025-12-18 10:00:00,20.25,20.35,19.98,20.11,1154500
2025-12-19 10:00:00,20.23,20.47,20.03,20.35,1075600
2025-12-22 10:00:00,20.56,20.57,19.86,19.98,1114500
2025-12-23 10:00:00,19.85,19.86,19.35,19.78,1098600
2025-12-26 10:00:00,19.89,20.02,19.68,20.02,737800
2025-12-29 10:00:00,20.01,20.01,19.76,19.9,720700
2025-12-30 10:00:00,19.9,20.14,19.88,20.05,1015700
2026-01-02 10:00:00,20.07,20.16,19.85,19.91,1011000
2026-01-05 10:00:00,19.99,20.13,19.72,19.91,1223400
2026-01-06 10:00:00,20.06,20.13,19.78,19.9,994800
2026-01-07 10:00:00,19.9,19.92,19.5,19.69,889900
2026-01-08 10:00:00,19.77,19.79,19.52,19.65,811200
2026-01-09 10:00:00,19.82,19.94,19.61,19.7,1696000
2026-01-12 18:07:32,19.78,19.78,19.39,19.5,1416500
