date,open,high,low,close,volume
2025-10-15 10:00:00,37.38,37.85,37.28,37.42,7314800
2025-10-16 10:00:00,37.59,38.58,37.3,38.43,10795000
2025-10-17 10:00:00,38.31,40.66,38.23,40.15,28853800
2025-10-20 10:00:00,40.09,40.2,39.54,39.54,12463500
2025-10-21 10:00:00,39.64,39.98,39.38,39.67,10407600
2025-10-22 10:00:00,39.2,40.78,38.68,40.02,16229100
2025-10-23 10:00:00,40.48,41.67,40.19,41.44,15783500
2025-10-24 10:00:00,41.45,41.79,41.0,41.37,10015800
2025-10-27 10:00:00,42.0,42.35,41.5,41.67,11591400
2025-10-28 10:00:00,41.75,42.86,41.67,42.32,9574200
2025-10-29 10:00:00,42.43,43.23,41.98,42.05,12072900
2025-10-30 10:00:00,41.92,42.08,41.31,41.45,11980500
2025-10-31 10:00:00,41.71,42.16,41.44,42.1,12528200
2025-11-03 10:00:00,42.39,42.9,41.98,42.8,8375200
2025-11-04 10:00:00,42.8,43.19,42.73,42.75,7341200
2025-11-05 10:00:00,42.75,43.6,42.43,43.51,6623200
2025-11-06 10:00:00,43.5,44.13,43.33,43.91,11139300
2025-11-07 10:00:00,43.9,45.12,43.7,45.0,12825500
2025-11-10 10:00:00,45.2,45.39,44.96,45.37,10066300
2025-11-11 10:00:00,45.76,46.64,45.5,46.03,10291400
2025-11-12 10:00:00,45.95,46.2,44.72,44.89,10226300
2025-11-13 10:00:00,44.8,45.13,44.42,44.82,10736800
2025-11-14 10:00:00,44.64,44.96,44.21,44.44,6639800
2025-11-17 10:00:00,44.3,44.51,43.68,43.97,9531800
2025-11-18 10:00:00,43.83,43.93,43.44,43.44,7190100
2025-11-19 10:00:00,43.4,43.89,43.2,43.65,7656600
2025-11-21 10:00:00,43.46,43.86,42.69,43.22,9992100
2025-11-24 10:00:00,43.41,43.41,43.01,43.19,12391300
2025-11-25 10:00:00,43.43,43.49,42.77,42.96,4409100
2025-11-26 10:00:00,43.12,44.65,43.12,44.4,8639200
2025-11-27 10:00:00,44.58,44.63,44.01,44.05,3006400
2025-11-28 10:00:00,44.05,44.39,43.47,44.25,7531800
2025-12-01 10:00:00,44.68,45.43,44.0,45.18,17188500
2025-12-02 10:00:00,45.2,45.94,44.88,45.61,5818500
2025-12-03 10:00:00,45.8,45.81,45.05,45.05,10377300
2025-12-04 10:00:00,44.88,45.5,44.65,45.5,7415000
2025-12-05 10:00:00,45.5,46.89,45.5,46.7,15748300
2025-12-08 10:00:00,46.4,47.86,46.4,47.77,10859600
2025-12-09 10:00:00,47.5,47.81,46.81,47.66,8650500
2025-12-10 10:00:00,47.7,48.57,47.5,48.47,4290600
2025-12-11 10:00:00,48.59,48.78,48.11,48.55,5154200
2025-12-12 10:00:00,48.7,49.52,47.98,49.52,9931700
2025-12-15 10:00:00,49.57,50.0,49.06,49.68,12049800
2025-12-16 10:00:00,49.29,50.1,49.05,49.94,10274800
2025-12-17 10:00:00,50.0,50.21,49.31,49.8,10202400
2025-12-18 10:00:00,49.64,50.66,49.57,50.0,5144100
2025-12-19 10:00:00,50.0,50.72,49.3,49.72,12839100
2025-12-22 10:00:00,48.7,48.85,47.18,47.66,6391700
2025-12-23 10:00:00,47.81,48.28,47.72,48.28,4886100
2025-12-26 10:00:00,48.02,48.75,47.98,48.75,1829300
2025-12-29 10:00:00,48.99,49.06,48.27,48.71,3845900
2025-12-30 10:00:00,48.78,49.05,48.28,48.51,4334800
2026-01-02 10:00:00,48.51,49.1,48.15,48.25,4801300
2026-01-05 10:00:00,48.26,48.86,48.05,48.08,4531300
2026-01-06 10:00:00,48.53,48.68,47.6,48.17,5168600
2026-01-07 10:00:00,48.0,48.04,47.53,47.7,4904900
2026-01-08 10:00:00,47.55,47.81,45.66,45.71,9557100
2026-01-09 10:00:00,45.75,46.38,45.66,46.1,4871300
2026-01-12 10:00:00,45.93,46.99,45.81,46.75,4361500
