date,open,high,low,close,volume
2025-10-17 10:00:00,11.71,12.05,11.65,11.97,2893200
2025-10-20 10:00:00,12.05,12.58,12.03,12.49,5897500
2025-10-21 10:00:00,12.39,12.52,12.3,12.5,2087800
2025-10-22 10:00:00,12.54,13.06,12.53,12.68,4803000
2025-10-23 10:00:00,12.84,13.28,12.81,13.02,4441300
2025-10-24 10:00:00,13.15,13.39,13.04,13.25,2881200
2025-10-27 10:00:00,13.46,13.48,12.99,12.99,2328500
2025-10-28 10:00:00,12.93,13.19,12.51,13.16,4044600
2025-10-29 10:00:00,13.3,13.39,12.97,13.0,2724900
2025-10-30 10:00:00,12.97,13.18,12.73,13.11,2524100
2025-10-31 10:00:00,13.24,14.24,13.2,14.21,9789500
2025-11-03 10:00:00,14.18,14.47,13.7,13.86,3650600
2025-11-04 10:00:00,13.73,13.96,13.66,13.93,1428100
2025-11-05 10:00:00,13.93,13.93,12.97,13.6,11850300
2025-11-06 10:00:00,13.5,13.57,13.03,13.2,4819600
2025-11-07 10:00:00,13.17,13.38,13.16,13.19,2059300
2025-11-10 10:00:00,13.43,13.55,13.21,13.55,2372200
2025-11-11 10:00:00,13.73,14.22,13.66,13.82,5374300
2025-11-12 10:00:00,13.82,13.97,13.46,13.68,3548100
2025-11-13 10:00:00,13.77,13.77,13.2,13.54,3199600
2025-11-14 10:00:00,13.37,13.37,12.4,12.6,8671100
2025-11-17 10:00:00,12.55,12.69,12.24,12.36,3132000
2025-11-18 10:00:00,12.29,12.72,12.12,12.65,2883100
2025-11-19 10:00:00,12.64,12.82,12.47,12.82,2424500
2025-11-21 10:00:00,12.71,12.78,12.49,12.58,1973800
2025-11-24 10:00:00,12.58,12.89,12.58,12.62,1855900
2025-11-25 10:00:00,12.69,12.97,12.5,12.88,2278500
2025-11-26 10:00:00,12.9,13.26,12.84,13.23,1629100
2025-11-27 10:00:00,13.21,13.42,13.1,13.24,1224100
2025-11-28 10:00:00,13.2,13.72,13.15,13.61,1754600
2025-12-01 10:00:00,13.61,13.82,13.36,13.63,5142900
2025-12-02 10:00:00,13.7,14.01,13.42,13.62,3767600
2025-12-03 10:00:00,13.7,14.07,13.64,14.02,2772200
2025-12-04 10:00:00,14.1,14.7,14.1,14.3,3037400
2025-12-05 10:00:00,14.27,14.33,12.68,12.75,6488000
2025-12-08 10:00:00,13.06,13.24,12.45,12.71,2872900
2025-12-09 10:00:00,12.58,12.87,12.22,12.61,2465800
2025-12-10 10:00:00,12.71,12.71,12.44,12.49,3176000
2025-12-11 10:00:00,12.47,12.65,12.35,12.41,1696900
2025-12-12 10:00:00,12.46,12.78,12.42,12.51,2312700
2025-12-15 10:00:00,12.65,12.85,12.61,12.77,1906900
2025-12-16 10:00:00,12.67,12.93,12.33,12.46,3260100
2025-12-17 10:00:00,12.31,12.38,12.05,12.31,2873100
2025-12-18 10:00:00,12.3,12.57,12.2,12.43,2270000
2025-12-19 10:00:00,12.4,12.59,12.32,12.36,1393600
2025-12-22 10:00:00,12.69,12.69,11.96,11.96,4494900
2025-12-23 10:00:00,12.0,12.75,12.0,12.54,2688900
2025-12-26 10:00:00,12.5,12.66,12.37,12.56,1636200
2025-12-29 10:00:00,12.17,12.21,11.86,12.06,2352800
2025-12-30 10:00:00,12.14,12.32,12.03,12.17,2111300
2026-01-02 10:00:00,12.25,12.28,11.95,12.19,1773400
2026-01-05 10:00:00,12.21,12.7,12.04,12.5,2144300
2026-01-06 10:00:00,12.62,13.19,12.61,12.9,2647100
2026-01-07 10:00:00,12.34,12.65,12.04,12.6,6327900
2026-01-08 10:00:00,12.65,13.03,12.6,12.84,2673500
2026-01-09 10:00:00,12.84,13.22,12.65,12.75,2303400
2026-01-12 10:00:00,12.75,13.08,12.75,13.04,2446700
2026-01-13 10:00:00,12.98,12.99,12.32,12.42,2737800
2026-01-14 10:00:00,12.58,12.73,12.32,12.39,2995300
2026-01-15 14:24:28,12.51,12.68,12.37,12.52,956300
